Loan ID,BorrCity,BorrState,BorrZip,CDC_City,CDC_State,CDC_Zip,ThirdPartyLender_City,ThirdPartyLender_State,ThirdPartyDollars,GrossApproval,ApprovalDate,ApprovalFiscalYear,DeliveryMethod,InitialInterestRate,Missing Rate?,TermInMonths,NaicsCode,ProjectCounty,ProjectState,BusinessType,LoanStatus,ChargeOffDate,GrossChargeOffAmount,BorrRegion,NaicsTrimmed,Cont_ApprovalDate,TotalLoanAmount,LossRatio,LoanAge,BorrSameCDC,ProjectSameBorr
31160,DEKALB,IL,60115,Chicago,IL,60605,NA,NA,NA,321000,9/26/2000,2000,504,3.25,1,240,NA,DEKALB,IL,CORPORATION,1,2/22/2013,215496,Midwest,NA,3921,321000,0.671327103,151,YES,YES
31167,SAN FRANCISCO,CA,94107,San Francisco,CA,94133,NA,NA,NA,1000000,9/26/2000,2000,ALP,3.25,1,240,541860,SAN FRANCISCO,CA,CORPORATION,0,NA,0,West,54,3921,1.00E+06,NA,240,YES,YES
31168,ALEXANDRIA,VA,22314,Fairfax,VA,22030,NA,NA,NA,1000000,9/27/2000,2000,ALP,3.25,1,240,NA,ALEXANDRIA CITY,VA,CORPORATION,0,NA,0,South,NA,3922,1.00E+06,NA,240,YES,YES
31209,FRESNO,CA,93720,Fresno,CA,93711,NA,NA,NA,750000,9/27/2000,2000,504,3.25,1,240,NA,FRESNO,CA,CORPORATION,1,8/17/2012,483450,West,NA,3922,750000,0.6446,144,YES,YES
31225,FORT OGLETHORPE,GA,30742,Chattanooga,TN,37401,NA,NA,NA,91000,9/28/2000,2000,504,3.25,1,240,811121,CATOOSA,GA,INDIVIDUAL,0,NA,0,South,81,3923,91000,NA,240,NO,YES
31229,DERRY,NH,3038,Portsmouth,NH,3801,NA,NA,NA,440000,9/28/2000,2000,ALP,3.25,1,240,NA,HILLSBOROUGH,NH,CORPORATION,0,NA,0,Northeast,NA,3923,440000,NA,240,YES,YES
31259,NEW GLARUS,WI,53574,Monona,WI,53716,NA,NA,NA,195000,9/29/2000,2000,504,3.25,1,240,NA,GREEN,WI,CORPORATION,0,NA,0,Midwest,NA,3924,195000,NA,240,YES,YES
31295,BERKELEY,CA,94710,San Francisco,CA,94133,NA,NA,NA,258000,9/29/2000,2000,ALP,3.25,1,240,541310,ALAMEDA,CA,PARTNERSHIP,0,NA,0,West,54,3924,258000,NA,240,YES,YES
31308,PLACENTIA,CA,92670,Santa Ana,CA,92705,NA,NA,NA,1000000,9/29/2000,2000,504,3.25,1,200,721110,ORANGE,CA,PARTNERSHIP,0,NA,0,West,72,3924,1.00E+06,NA,200,YES,YES
31309,HURST,TX,76054,Fort Worth,TX,76104,NA,NA,NA,553000,9/29/2000,2000,ALP,3.25,1,240,812990,TARRANT,TX,INDIVIDUAL,0,NA,0,South,81,3924,553000,NA,240,YES,YES
31369,GRUNDY CENTER,IA,50638,Johnston,IA,50131,NA,NA,NA,156000,10/18/2000,2001,504,3.25,1,240,722110,GRUNDY,IA,CORPORATION,0,NA,0,Midwest,72,3943,156000,NA,240,YES,YES
31403,RENO,NV,89509,Las Vegas,NV,89144,NA,NA,NA,639000,10/24/2000,2001,ALP,3.25,1,240,531320,WASHOE,NV,PARTNERSHIP,0,NA,0,West,53,3949,639000,NA,240,YES,YES
31428,BROOKLYN,NY,11211,Albany,NY,12207,NA,NA,NA,198000,10/26/2000,2001,504,3.25,1,240,444190,KINGS,NY,CORPORATION,0,NA,0,Northeast,44,3951,198000,NA,240,YES,YES
31448,DOVER,NH,3820,Portsmouth,NH,3801,NA,NA,NA,57000,10/27/2000,2001,PCLP,3.25,1,240,444220,STRAFFORD,NH,CORPORATION,0,NA,0,Northeast,44,3952,57000,NA,240,YES,YES
31482,GRASS VALLEY,CA,95959,Denver,CO,80202,NA,NA,NA,167000,11/1/2000,2001,PCLP,3.25,1,240,621111,NEVADA,CA,INDIVIDUAL,0,NA,0,West,62,3957,167000,NA,240,NO,YES
